,REGION_NAME,DISTRICT_NAME,LPU_NAME,YEAR,WEEK,SWB_0_2,SWB_3_6,SWB_7_14,SWB_15,SWB_TOTAL,POS_0_2,POS_3_6,POS_7_14,POS_15,POS_TOTAL,SWBA_0_2,SWBA_3_6,SWBA_7_14,SWBA_15,SWBA_TOTAL,POSA_0_2,POSA_3_6,POSA_7_14,POSA_15,POSA_TOTAL,Индекс,Тип региона,Регион,Тип района,Район,Тип города,Тип н/п,Н/п,Код КЛАДР,Код ФИАС,Уровень по ФИАС,Признак центра района или региона,Код ОКАТО,Код ОКТМО,Код ИФНС,Часовой пояс,Широта,Долгота,Федеральный округ,Население
31,Сибирский ФО,Кемерово,ЦГиЭ,2015,40,0,1,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,650000.0,обл,Кемеровская,,,г,,,4200000900000.0,94bb19a3-c1fa-410b-8651-ac1bf7c050cd,4: город,2.0,32401000000.0,32701000001.0,4205.0,UTC+7,55.3909721,86.0467864,Сибирский,532884
32,Сибирский ФО,Красноярск,ЦГиЭ,2015,40,0,0,0,0,21,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,660000.0,край,Красноярский,,,г,,,2400000100000.0,9b968c73-f4d4-4012-8da8-3dacd4d4c1bd,4: город,2.0,4401000000.0,4701000.0,2400.0,UTC+7,56.009466,92.8524162,Сибирский,973826
33,Сибирский ФО,Новосибирск,ЦГиЭ,2015,40,5,2,2,5,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,630000.0,обл,Новосибирская,,,г,,,5400000100000.0,8dea00e3-9aab-4d8e-887c-ef2aaa546456,4: город,2.0,50401000000.0,50701000001.0,5400.0,UTC+7,55.0281016,82.9210575,Сибирский,1498921
34,Сибирский ФО,Омск,ЦГиЭ,2015,40,13,6,7,4,30,0,0,0,0,0,13,6,7,4,30,11,4,5,4,24,644000.0,обл,Омская,,,г,,,5500000100000.0,140e31da-27bf-4519-9ea0-6185d681d44e,4: город,2.0,52401000000.0,52701000001.0,5500.0,UTC+6,54.9848136,73.3674638,Сибирский,1154000
35,Сибирский ФО,Томск,ЦГиЭ,2015,40,0,0,0,0,10,0,0,0,0,0,5,1,3,1,10,0,0,0,0,7,634000.0,обл,Томская,,,г,,,7000000100000.0,e3b0eae8-a4ce-4779-ae04-5c0797de66be,4: город,3.0,69401000000.0,69701000001.0,7017.0,UTC+7,56.4847036,84.9481737,Сибирский,522940
36,Уральский ФО,Екатеринбург,ЦГиЭ,2015,40,7,13,7,27,54,0,0,0,0,0,7,13,7,27,54,5,4,4,4,17,620000.0,обл,Свердловская,,,г,,,6600000100000.0,2763c110-cb8b-416a-9dac-ad28a55b4402,4: город,2.0,65401000000.0,65701000.0,6600.0,UTC+5,56.8386326,60.6054887,Уральский,1377738
37,Уральский ФО,Челябинск,ЦГиЭ,2015,40,7,3,3,11,24,0,0,0,0,0,7,3,3,11,24,1,0,1,5,7,454000.0,обл,Челябинская,,,г,,,7400000100000.0,a376e68d-724a-4472-be7c-891bdb09ae32,4: город,2.0,75401000000.0,75701000001.0,7400.0,UTC+5,55.1603659,61.4007858,Уральский,1130273
38,Центральный ФО,Белгород,ЦГиЭ,2015,40,2,2,2,4,10,0,0,0,0,0,2,2,2,4,10,2,0,0,0,2,308000.0,обл,Белгородская,,,г,,,3100000100000.0,02e9c019-ab4d-4fa0-928e-d6c0a41dc256,4: город,2.0,14401000000.0,14701000.0,3123.0,UTC+3,50.5977351,36.5858236,Центральный,356426
39,Центральный ФО,Брянск,ЦГиЭ,2015,40,1,0,2,2,5,0,0,0,0,0,1,0,2,2,5,0,0,0,0,0,241000.0,обл,Брянская,,,г,,,3200000100000.0,414b71cf-921e-4bfc-b6e0-f7395d16aaef,4: город,2.0,15401000000.0,15701000001.0,3200.0,UTC+3,53.2420071,34.3652716,Центральный,415640
40,Центральный ФО,Владимир,ЦГиЭ,2015,40,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600000.0,обл,Владимирская,,,г,,,3300000100000.0,f66a00e6-179e-4de9-8ecb-78b0277c9f10,4: город,2.0,17401000000.0,17701000001.0,3300.0,UTC+3,56.1281561,40.4082995,Центральный,348256
41,Центральный ФО,Воронеж,ЦГиЭ,2015,40,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,394000.0,обл,Воронежская,,,г,,,3600000100000.0,5bf5ddff-6353-4a3d-80c4-6fb27f00c6c1,4: город,2.0,20401000000.0,20701000001.0,3600.0,UTC+3,51.6592378,39.1968284,Центральный,889680
42,Центральный ФО,Курск,ЦГиЭ,2015,40,5,2,7,13,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,305000.0,обл,Курская,,,г,,,4600000100000.0,d790c72e-479b-4da2-90d7-842b1712a71c,4: город,2.0,38401000000.0,38701000.0,4600.0,UTC+3,51.7303391,36.1926448,Центральный,414595
43,Центральный ФО,Липецк,ЦГиЭ,2015,40,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,398000.0,обл,Липецкая,,,г,,,4800000100000.0,eacb5f15-1a2e-432e-904a-ca56bd635f1b,4: город,2.0,42401000000.0,42701000.0,4800.0,UTC+3,52.6103027,39.5946266,Центральный,508124
44,Центральный ФО,Москва,ФГУЗ,2015,40,0,0,0,3,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,101000.0,г,Москва,,,,,,7700000000000.0,0c5b2444-70a0-4932-980c-b4dc0d3f02b5,1: регион,0.0,45000000000.0,,7700.0,UTC+3,55.7538789,37.6203735,Центральный,11514330
45,Центральный ФО,Рязань,ЦГиЭ,2015,40,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,390000.0,обл,Рязанская,,,г,,,6200000100000.0,86e5bae4-ef58-4031-b34f-5e9ff914cd55,4: город,2.0,61401000000.0,61701000001.0,6200.0,UTC+3,54.625457,39.7359992,Центральный,525062
46,Центральный ФО,Смоленск,ЦГиЭ,2015,40,1,0,1,10,12,0,0,0,0,0,1,0,1,10,12,1,0,0,6,7,214000.0,обл,Смоленская,,,г,,,6700000300000.0,d414a2e8-9e1e-48c1-94a4-7308d5608177,4: город,2.0,66401000000.0,66701000001.0,6732.0,UTC+3,54.7867168,31.8153366,Центральный,326863
47,Центральный ФО,Ярославль,ЦГиЭ,2015,40,0,0,0,0,17,0,0,0,0,0,0,0,0,0,7,0,0,0,0,5,150000.0,обл,Ярославская,,,г,,,7600000100000.0,6b1bab7d-ee45-4168-a2a6-4ce2880d90d3,4: город,2.0,78401000000.0,78701000.0,7600.0,UTC+3,57.6216145,39.897878,Центральный,591486
48,Южный ФО,Астрахань,ЦГиЭ,2015,40,1,1,0,4,6,0,0,0,0,0,1,1,0,4,6,0,0,0,3,3,414000.0,обл,Астраханская,,,г,,,3000000100000.0,a101dd8b-3aee-4bda-9c61-9df106f145ff,4: город,2.0,12401000000.0,12701000.0,3000.0,UTC+4,46.3655808,48.0559979,Южный,520662
49,Южный ФО,Волгоград,ЦГиЭ,2015,40,3,0,4,9,16,0,0,0,0,0,3,0,4,9,16,1,0,1,2,4,400000.0,обл,Волгоградская,,,г,,,3400000100000.0,a52b7389-0cfe-46fb-ae15-298652a64cf8,4: город,2.0,18401000000.0,18701000001.0,3400.0,UTC+3,48.7072005,44.5170207,Южный,1021244
50,Южный ФО,Ростов-на-Дону,ЦГиЭ,2015,40,19,10,15,3,47,0,0,0,0,0,19,10,15,3,47,9,5,0,0,14,344000.0,обл,Ростовская,,,г,,,6100000100000.0,c1cfe4b9-f7c2-423c-abfa-6ed1c05a15c5,4: город,2.0,60401000000.0,60701000001.0,6100.0,UTC+3,47.2224364,39.7187866,Южный,1091544
51,Южный ФО,Симферополь,ЦГиЭ,2015,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295000.0,Респ,Крым,,,г,,,9100000700000.0,b9001e55-72ed-43bf-b7eb-41b86a14380e,4: город,0.0,35401000000.0,35701000001.0,9102.0,UTC+3,44.9482645,34.100117,Южный,362366
52,Дальневосточный ФО,Биробиджан,ЦГиЭ,2015,41,4,2,1,0,7,0,0,0,0,0,4,2,1,0,7,1,0,0,0,1,679002.0,Аобл,Еврейская,,,г,,,7900000100000.0,5d133391-46ee-496b-83a6-efeeaa903643,4: город,2.0,99401000000.0,99701000.0,7901.0,UTC+10,48.7945975,132.9217594,Дальневосточный,75419
53,Дальневосточный ФО,Владивосток,ЦГиЭ,2015,41,8,4,6,22,40,0,0,0,0,0,8,4,6,22,40,2,1,1,9,13,690000.0,край,Приморский,,,г,,,2500000100000.0,7b6de6a5-86d0-4735-b11a-499081111af8,4: город,2.0,5401000000.0,5701000.0,2500.0,UTC+10,43.1163807,131.882348,Дальневосточный,592069
54,Дальневосточный ФО,Магадан,ЦГиЭ,2015,41,15,11,7,10,43,0,0,0,0,0,15,11,7,10,43,2,3,3,1,9,685000.0,обл,Магаданская,,,г,,,4900000100000.0,cb8ae35a-93df-4133-b377-50f3698c8b5e,4: город,2.0,44401000000.0,44701000001.0,4900.0,UTC+11,59.5681763,150.8085289,Дальневосточный,95925
55,Дальневосточный ФО,Петропавловск,ЦГиЭ,2015,41,6,4,5,7,22,0,0,0,0,0,6,4,5,7,22,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
56,Дальневосточный ФО,Хабаровск,ЦГиЭ,2015,41,13,11,3,12,39,0,0,0,0,0,13,11,3,12,39,6,6,2,3,17,680000.0,край,Хабаровский,,,г,,,2700000100000.0,a4859da8-9977-4b62-8436-4e1b98c5d13f,4: город,2.0,8401000000.0,8701000.0,2700.0,UTC+10,48.4647991,135.0598811,Дальневосточный,577668
57,Дальневосточный ФО,Чита,ЦГиЭ,2015,41,7,2,1,12,22,0,0,0,0,0,7,2,1,12,22,1,1,0,1,3,672000.0,край,Забайкальский,,,г,,,7500000100000.0,2d9abaa6-85a6-4f1f-a1bd-14b76ec17d9c,4: город,2.0,76401000000.0,76701000.0,7536.0,UTC+9,52.0340128,113.4994884,Сибирский,323964
58,Дальневосточный ФО,Южно-Сахалинск,ЦГиЭ,2015,41,1,0,0,5,6,0,0,0,0,0,1,0,0,5,6,0,0,0,0,0,693000.0,обл,Сахалинская,,,г,,,6500000100000.0,44388ad0-06aa-49b0-bbf9-1704629d1d68,4: город,2.0,64401000000.0,64701000.0,6500.0,UTC+11,46.959133,142.7381252,Дальневосточный,181727
59,Дальневосточный ФО,Якутск,ЦГиЭ,2015,41,2,0,0,0,2,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,677000.0,Респ,Саха /Якутия/,,,г,,,1400000100000.0,884c84a2-0141-4652-962d-8a92989b88f7,4: город,2.0,98401000000.0,98701000.0,1447.0,UTC+9,62.0280273,129.7325717,Дальневосточный,269486
60,Приволжский ФО,Ижевск,ЦГиЭ,2015,41,31,11,5,23,70,0,0,0,0,0,31,11,5,23,70,16,5,3,12,36,426000.0,Респ,Удмуртская,,,г,,,1800000100000.0,deb1d05a-71ce-40d1-b726-6ba85d70d58f,4: город,2.0,94401000000.0,94701000001.0,1800.0,UTC+4,56.8527444,53.2113961,Приволжский,628117
61,Приволжский ФО,Казань,ЦГиЭ,2015,41,8,0,0,0,8,0,0,0,0,0,8,0,0,0,8,6,0,0,0,6,420000.0,Респ,Татарстан,,,г,,,1600000100000.0,93b3df57-4c89-44df-ac42-96f05e9cd3b9,4: город,2.0,92401000000.0,92701000.0,1600.0,UTC+3,55.7943877,49.1115312,Приволжский,1216965
62,Приволжский ФО,Киров,ЦГиЭ,2015,41,0,0,0,0,0,0,0,0,0,0,11,2,0,1,13,8,1,0,1,10,249440.0,обл,Калужская,р-н,Кировский,г,,,4001100100000.0,7c875ac0-5c75-4798-8786-564ccb5bd9f2,4: город,1.0,29214501000.0,29614101001.0,4023.0,UTC+3,54.0790823,34.3077508,Центральный,31888
63,Приволжский ФО,Киров,ЦГиЭ,2015,41,0,0,0,0,0,0,0,0,0,0,11,2,0,1,13,8,1,0,1,10,610000.0,обл,Кировская,,,г,,,4300000100000.0,452a2ddf-88a1-4e35-8d8d-8635493768d4,4: город,2.0,33401000000.0,33701000001.0,4345.0,UTC+3,58.6035313,49.6679219,Приволжский,473668
64,Приволжский ФО,Нижний Новгород,ЦГиЭ,2015,41,9,8,3,34,54,0,0,0,0,0,4,3,0,11,18,3,2,0,0,5,603000.0,обл,Нижегородская,,,г,,,5200000100000.0,555e7d61-d9a7-4ba6-9770-6caa8198c483,4: город,2.0,22401000000.0,22701000.0,5200.0,UTC+3,56.3242093,44.0053948,Приволжский,1250615
65,Приволжский ФО,Оренбург,ЦГиЭ,2015,41,3,6,0,6,15,0,0,0,0,0,3,6,0,6,15,0,2,0,1,3,460000.0,обл,Оренбургская,,,г,,,5600000100000.0,dce97bff-deb2-4fd9-9aec-4f4327bbf89b,4: город,2.0,53401000000.0,53701000.0,5600.0,UTC+5,51.7875191,55.1017379,Приволжский,570329
66,Приволжский ФО,Пенза,ЦГиЭ,2015,41,0,0,0,0,3,0,0,0,0,0,1,0,0,2,3,0,0,0,0,0,440000.0,обл,Пензенская,,,г,,,5800000100000.0,ff3292b1-a1d2-47d4-b35b-ac06b50555cc,4: город,2.0,56401000000.0,56701000.0,5800.0,UTC+3,53.1753884,45.0347408,Приволжский,519592
67,Приволжский ФО,Пермь,ЦГиЭ,2015,41,12,0,0,7,19,0,0,0,0,0,12,0,0,7,19,7,0,0,2,9,614000.0,край,Пермский,,,г,,,5900000100000.0,a309e4ce-2f36-4106-b1ca-53e0f48a6d95,4: город,2.0,57401000000.0,57701000001.0,5900.0,UTC+5,58.0103211,56.2341778,Приволжский,1000679
68,Приволжский ФО,Самара,ЦГиЭ,2015,41,5,0,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,443000.0,обл,Самарская,,,г,,,6300000100000.0,bb035cc3-1dc2-4627-9d25-a1bf2d4b936b,4: город,2.0,36401000000.0,36701000.0,6300.0,UTC+4,53.1951657,50.1067691,Приволжский,1164900
69,Приволжский ФО,Саратов,ЦГиЭ,2015,41,4,4,1,21,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,410000.0,обл,Саратовская,,,г,,,6400000100000.0,bf465fda-7834-47d5-986b-ccdb584a85a6,4: город,2.0,63401000000.0,63701000.0,6400.0,UTC+4,51.530376,45.9530257,Приволжский,836900
70,Приволжский ФО,Ульяновск,ЦГиЭ,2015,41,6,4,0,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,432000.0,обл,Ульяновская,,,г,,,7300000100000.0,bebfd75d-a0da-4bf9-8307-2e2c85eac463,4: город,2.0,73401000000.0,73701000.0,7300.0,UTC+4,54.3080674,48.3748717,Приволжский,613793
71,Приволжский ФО,Уфа,ЦГиЭ,2015,41,2,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450000.0,Респ,Башкортостан,,,г,,,200000100000.0,7339e834-2cb4-4734-a4c7-1fca2c66e562,4: город,3.0,80401000000.0,80701000.0,200.0,UTC+5,54.734853,55.9578647,Приволжский,1062300
72,Приволжский ФО,Чебоксары,ЦГиЭ,2015,41,3,1,0,2,6,0,0,0,0,0,3,1,0,2,6,0,0,0,0,0,428000.0,Чувашия,Чувашская Республика,,,г,,,2100000100000.0,dd8caeab-c685-4f2a-bf5f-550aca1bbc48,4: город,2.0,97401000000.0,97701000.0,2130.0,UTC+3,56.1439378,47.2488718,Приволжский,447929
73,Северо-Западный ФО,Архангельск,ЦГиЭ,2015,41,5,2,0,2,9,0,0,0,0,0,5,2,0,2,9,1,0,0,0,1,163000.0,обл,Архангельская,,,г,,,2900000100000.0,06814fb6-0dc3-4bec-ba20-11f894a0faf5,4: город,2.0,11401000000.0,11701000.0,2901.0,UTC+3,64.5392985,40.5170083,Северо-Западный,348716
